dataset,subject,roi,time_idx,time_s,model,layer,RSA,CKA
EEG2,sub-01,whole_brain,0,0.0,ResNet152_adv,features/layer1-0,0.04954596115269469,0.0022741421551126183
EEG2,sub-01,whole_brain,0,0.0,ResNet152_adv,features/layer2-0,0.04508334500780442,0.003359576652449597
EEG2,sub-01,whole_brain,0,0.0,ResNet152_adv,features/layer3-0,0.04008228838209348,0.006118213594579813
EEG2,sub-01,whole_brain,0,0.0,ResNet152_adv,features/layer3-10,0.03673653954262324,0.002964411400939282
EEG2,sub-01,whole_brain,0,0.0,ResNet152_adv,features/layer3-15,0.028753115051303454,0.0010945723446406444
EEG2,sub-01,whole_brain,0,0.0,ResNet152_adv,features/layer3-20,0.007719385126640216,-0.0007611578226856273
EEG2,sub-01,whole_brain,0,0.0,ResNet152_adv,features/layer3-25,0.010650910478245765,0.002272223778618325
EEG2,sub-01,whole_brain,0,0.0,ResNet152_adv,features/layer3-30,0.010509040654032758,0.0019246419053290998
EEG2,sub-01,whole_brain,0,0.0,ResNet152_adv,features/layer3-5,0.033278199247320686,0.004392676384544193
EEG2,sub-01,whole_brain,0,0.0,ResNet152_adv,features/layer4-1,-0.015243157639582831,-0.0018713556862113838
EEG2,sub-01,whole_brain,0,0.0,Qwen3-VL-2B,features/language_model-layers-11,0.05177473365949938,0.0020975943952942977
EEG2,sub-01,whole_brain,0,0.0,Qwen3-VL-2B,features/language_model-layers-16,0.04239008180362464,0.006129762440145523
EEG2,sub-01,whole_brain,0,0.0,Qwen3-VL-2B,features/language_model-layers-3,0.026101539085978186,0.005192927735688867
EEG2,sub-01,whole_brain,0,0.0,Qwen3-VL-2B,features/language_model-layers-8,0.05072245037279231,0.0052279096680497746
EEG2,sub-01,whole_brain,0,0.0,Qwen3-VL-2B,features/visual-blocks-10,0.0186956610120682,-0.00035728719862491385
EEG2,sub-01,whole_brain,0,0.0,Qwen3-VL-2B,features/visual-blocks-14,0.027387922817671554,0.002485509726923862
EEG2,sub-01,whole_brain,0,0.0,Qwen3-VL-2B,features/visual-blocks-18,0.034469237635608385,0.0027138344645692464
EEG2,sub-01,whole_brain,0,0.0,Qwen3-VL-2B,features/visual-blocks-2,0.027555850251022973,0.0031461010884870646
EEG2,sub-01,whole_brain,0,0.0,Qwen3-VL-2B,features/visual-blocks-22,0.05389251478427731,0.004509170306919339
EEG2,sub-01,whole_brain,0,0.0,Qwen3-VL-2B,features/visual-blocks-6,0.020930428372832512,0.0020894783202410143
EEG2,sub-01,whole_brain,2,0.02,ResNet152_adv,features/layer1-0,0.05048941723144895,-0.0016601453039851797
EEG2,sub-01,whole_brain,2,0.02,ResNet152_adv,features/layer2-0,0.05414509461038271,-0.0029379078205539672
EEG2,sub-01,whole_brain,2,0.02,ResNet152_adv,features/layer3-0,0.04175578680084346,-0.004041200973112212
EEG2,sub-01,whole_brain,2,0.02,ResNet152_adv,features/layer3-10,0.042968792462994114,0.0008295617597285484
EEG2,sub-01,whole_brain,2,0.02,ResNet152_adv,features/layer3-15,0.038424872208401274,-0.0009514442796782911
EEG2,sub-01,whole_brain,2,0.02,ResNet152_adv,features/layer3-20,0.023296594431921003,-0.0030914522504679426
EEG2,sub-01,whole_brain,2,0.02,ResNet152_adv,features/layer3-25,0.019716489644550892,-0.0024257501902760848
EEG2,sub-01,whole_brain,2,0.02,ResNet152_adv,features/layer3-30,0.005584552827409769,-0.00299114230718656
EEG2,sub-01,whole_brain,2,0.02,ResNet152_adv,features/layer3-5,0.028958431526876667,-0.0021459851180538167
EEG2,sub-01,whole_brain,2,0.02,ResNet152_adv,features/layer4-1,0.0010469976199569667,-0.002848595448632974
EEG2,sub-01,whole_brain,2,0.02,Qwen3-VL-2B,features/language_model-layers-11,0.0035324445563459893,0.004378944719187951
EEG2,sub-01,whole_brain,2,0.02,Qwen3-VL-2B,features/language_model-layers-16,0.00017374804776357558,0.009515377203911267
EEG2,sub-01,whole_brain,2,0.02,Qwen3-VL-2B,features/language_model-layers-3,-0.03092427342736168,0.008538273180483311
EEG2,sub-01,whole_brain,2,0.02,Qwen3-VL-2B,features/language_model-layers-8,-0.01079676750039631,0.008669264869540812
EEG2,sub-01,whole_brain,2,0.02,Qwen3-VL-2B,features/visual-blocks-10,0.04878094463869317,0.0016978079528374712
EEG2,sub-01,whole_brain,2,0.02,Qwen3-VL-2B,features/visual-blocks-14,0.04312556056946922,0.0024571875586053026
EEG2,sub-01,whole_brain,2,0.02,Qwen3-VL-2B,features/visual-blocks-18,0.033539159413063555,0.0025603255722566136
EEG2,sub-01,whole_brain,2,0.02,Qwen3-VL-2B,features/visual-blocks-2,0.039859538290072216,0.011423377245998047
EEG2,sub-01,whole_brain,2,0.02,Qwen3-VL-2B,features/visual-blocks-22,0.0250987845882611,0.0044325151087678035
EEG2,sub-01,whole_brain,2,0.02,Qwen3-VL-2B,features/visual-blocks-6,0.034145108104027065,0.0112937808195003
EEG2,sub-01,whole_brain,4,0.04,ResNet152_adv,features/layer1-0,0.07066795637873369,0.0015308454053018395
EEG2,sub-01,whole_brain,4,0.04,ResNet152_adv,features/layer2-0,0.08615654742672674,-0.00045131777422295725
EEG2,sub-01,whole_brain,4,0.04,ResNet152_adv,features/layer3-0,0.062339138916794115,-0.0010994285865086446
EEG2,sub-01,whole_brain,4,0.04,ResNet152_adv,features/layer3-10,0.07727725777923955,-5.521139832338319e-05
EEG2,sub-01,whole_brain,4,0.04,ResNet152_adv,features/layer3-15,0.07399164029947897,-0.0023575130393451134
EEG2,sub-01,whole_brain,4,0.04,ResNet152_adv,features/layer3-20,0.05954275897719207,-0.004177685519185096
EEG2,sub-01,whole_brain,4,0.04,ResNet152_adv,features/layer3-25,0.05616987390955693,-0.004705112492073759
EEG2,sub-01,whole_brain,4,0.04,ResNet152_adv,features/layer3-30,0.04946319038899422,-0.005251245598223432
EEG2,sub-01,whole_brain,4,0.04,ResNet152_adv,features/layer3-5,0.06883851532071183,0.0004931660213108808
EEG2,sub-01,whole_brain,4,0.04,ResNet152_adv,features/layer4-1,0.011393075023195849,-0.0035302894056630316
EEG2,sub-01,whole_brain,4,0.04,Qwen3-VL-2B,features/language_model-layers-11,0.07207353980202057,0.0002745897366166013
EEG2,sub-01,whole_brain,4,0.04,Qwen3-VL-2B,features/language_model-layers-16,0.06867725040681263,0.005969277320214393
EEG2,sub-01,whole_brain,4,0.04,Qwen3-VL-2B,features/language_model-layers-3,0.030754210894883595,0.007025174137252145
EEG2,sub-01,whole_brain,4,0.04,Qwen3-VL-2B,features/language_model-layers-8,0.040728496193563085,0.006152380258642019
EEG2,sub-01,whole_brain,4,0.04,Qwen3-VL-2B,features/visual-blocks-10,0.07653292904194278,0.004905561873870722
EEG2,sub-01,whole_brain,4,0.04,Qwen3-VL-2B,features/visual-blocks-14,0.04933266160018038,0.007777041970996927
EEG2,sub-01,whole_brain,4,0.04,Qwen3-VL-2B,features/visual-blocks-18,0.034719035282839386,0.008265603814452543
EEG2,sub-01,whole_brain,4,0.04,Qwen3-VL-2B,features/visual-blocks-2,0.06693030420960551,0.008556751696155485
EEG2,sub-01,whole_brain,4,0.04,Qwen3-VL-2B,features/visual-blocks-22,0.027396194035654426,0.008948918246976549
EEG2,sub-01,whole_brain,4,0.04,Qwen3-VL-2B,features/visual-blocks-6,0.06317164547785209,0.008617088697539136
EEG2,sub-01,whole_brain,6,0.06,ResNet152_adv,features/layer1-0,0.09386648458726843,0.00391789987197051
EEG2,sub-01,whole_brain,6,0.06,ResNet152_adv,features/layer2-0,0.11262957709602131,0.0040387412328320525
EEG2,sub-01,whole_brain,6,0.06,ResNet152_adv,features/layer3-0,0.0820190229240415,0.006275258734976611
EEG2,sub-01,whole_brain,6,0.06,ResNet152_adv,features/layer3-10,0.08341685162460306,0.009808732782108484
EEG2,sub-01,whole_brain,6,0.06,ResNet152_adv,features/layer3-15,0.06327510834889259,0.004521724136420164
EEG2,sub-01,whole_brain,6,0.06,ResNet152_adv,features/layer3-20,0.04590684738019867,0.0027800294871150985
EEG2,sub-01,whole_brain,6,0.06,ResNet152_adv,features/layer3-25,0.03875753074040119,0.001173832650795245
EEG2,sub-01,whole_brain,6,0.06,ResNet152_adv,features/layer3-30,0.05358446292195945,0.0021794256914341964
EEG2,sub-01,whole_brain,6,0.06,ResNet152_adv,features/layer3-5,0.06338777206725232,0.005980581206041297
EEG2,sub-01,whole_brain,6,0.06,ResNet152_adv,features/layer4-1,0.025398709086128388,0.0007369781272258875
EEG2,sub-01,whole_brain,6,0.06,Qwen3-VL-2B,features/language_model-layers-11,0.07441414565375569,-0.0001439536097628567
EEG2,sub-01,whole_brain,6,0.06,Qwen3-VL-2B,features/language_model-layers-16,0.09049860540968042,0.005150991472529493
EEG2,sub-01,whole_brain,6,0.06,Qwen3-VL-2B,features/language_model-layers-3,0.07280797164439894,0.00636432688803587
EEG2,sub-01,whole_brain,6,0.06,Qwen3-VL-2B,features/language_model-layers-8,0.06857103127523219,0.00455033579963401
EEG2,sub-01,whole_brain,6,0.06,Qwen3-VL-2B,features/visual-blocks-10,0.07189656009533557,0.0053340468282763245
EEG2,sub-01,whole_brain,6,0.06,Qwen3-VL-2B,features/visual-blocks-14,0.058878805237988656,0.004056343963327181
EEG2,sub-01,whole_brain,6,0.06,Qwen3-VL-2B,features/visual-blocks-18,0.05578359821304111,0.004217340240722511
EEG2,sub-01,whole_brain,6,0.06,Qwen3-VL-2B,features/visual-blocks-2,0.0674913437284498,0.01520702604795487
EEG2,sub-01,whole_brain,6,0.06,Qwen3-VL-2B,features/visual-blocks-22,0.05020090629494001,0.004846731156517307
EEG2,sub-01,whole_brain,6,0.06,Qwen3-VL-2B,features/visual-blocks-6,0.05900997736521025,0.015570076382255086
EEG2,sub-01,whole_brain,8,0.08,ResNet152_adv,features/layer1-0,-0.11167208691144853,0.08215940017179758
EEG2,sub-01,whole_brain,8,0.08,ResNet152_adv,features/layer2-0,-0.020679386624229933,0.09254307179412319
EEG2,sub-01,whole_brain,8,0.08,ResNet152_adv,features/layer3-0,0.07196814607064336,0.09527731284975331
EEG2,sub-01,whole_brain,8,0.08,ResNet152_adv,features/layer3-10,-0.01874364024067186,0.05539086735640289
EEG2,sub-01,whole_brain,8,0.08,ResNet152_adv,features/layer3-15,-0.061262741871668455,0.046991817133226935
EEG2,sub-01,whole_brain,8,0.08,ResNet152_adv,features/layer3-20,-0.051507565573759115,0.04503818544576458
EEG2,sub-01,whole_brain,8,0.08,ResNet152_adv,features/layer3-25,-0.05895758103784443,0.04446990214730861
EEG2,sub-01,whole_brain,8,0.08,ResNet152_adv,features/layer3-30,-0.04492794630332873,0.043742130246971524
EEG2,sub-01,whole_brain,8,0.08,ResNet152_adv,features/layer3-5,-0.017744483240057667,0.06817241724399858
EEG2,sub-01,whole_brain,8,0.08,ResNet152_adv,features/layer4-1,0.07167737106460811,0.02752672078811896
EEG2,sub-01,whole_brain,8,0.08,Qwen3-VL-2B,features/language_model-layers-11,0.15728785394689265,0.032287016273926626
EEG2,sub-01,whole_brain,8,0.08,Qwen3-VL-2B,features/language_model-layers-16,0.14700316754568568,0.035726965467393346
EEG2,sub-01,whole_brain,8,0.08,Qwen3-VL-2B,features/language_model-layers-3,0.1371305436103141,0.03830388013266862
EEG2,sub-01,whole_brain,8,0.08,Qwen3-VL-2B,features/language_model-layers-8,0.13234282182631324,0.03560200127268175
EEG2,sub-01,whole_brain,8,0.08,Qwen3-VL-2B,features/visual-blocks-10,0.0865199007950723,0.014051478944871035
EEG2,sub-01,whole_brain,8,0.08,Qwen3-VL-2B,features/visual-blocks-14,0.06449159934712866,0.015397661726593357
EEG2,sub-01,whole_brain,8,0.08,Qwen3-VL-2B,features/visual-blocks-18,0.07519307795465069,0.01690917234481784
EEG2,sub-01,whole_brain,8,0.08,Qwen3-VL-2B,features/visual-blocks-2,-0.045815402131706796,0.01869044066084531
EEG2,sub-01,whole_brain,8,0.08,Qwen3-VL-2B,features/visual-blocks-22,0.08191477705312807,0.02219288324010602
EEG2,sub-01,whole_brain,8,0.08,Qwen3-VL-2B,features/visual-blocks-6,-0.006444654916745368,0.01986519895895101
EEG2,sub-01,whole_brain,10,0.1,ResNet152_adv,features/layer1-0,0.0046177519048860695,0.10042035282371968
EEG2,sub-01,whole_brain,10,0.1,ResNet152_adv,features/layer2-0,0.08242250510858475,0.11280437585500226
EEG2,sub-01,whole_brain,10,0.1,ResNet152_adv,features/layer3-0,0.14240467577120128,0.10955983562744043
EEG2,sub-01,whole_brain,10,0.1,ResNet152_adv,features/layer3-10,0.06263418167558331,0.07178494744809025
EEG2,sub-01,whole_brain,10,0.1,ResNet152_adv,features/layer3-15,0.023535665671145012,0.06464033836721135
EEG2,sub-01,whole_brain,10,0.1,ResNet152_adv,features/layer3-20,0.025992746711925783,0.061930721421912596
EEG2,sub-01,whole_brain,10,0.1,ResNet152_adv,features/layer3-25,0.024336290480494207,0.05990110281929107
EEG2,sub-01,whole_brain,10,0.1,ResNet152_adv,features/layer3-30,0.0472301855922222,0.060997614186086783
EEG2,sub-01,whole_brain,10,0.1,ResNet152_adv,features/layer3-5,0.06983650009570927,0.08514087071687614
EEG2,sub-01,whole_brain,10,0.1,ResNet152_adv,features/layer4-1,0.07491701768899149,0.051027757656859636
EEG2,sub-01,whole_brain,10,0.1,Qwen3-VL-2B,features/language_model-layers-11,0.08851909995896631,0.030594456781969728
EEG2,sub-01,whole_brain,10,0.1,Qwen3-VL-2B,features/language_model-layers-16,0.07321092199068843,0.028470841043316344
EEG2,sub-01,whole_brain,10,0.1,Qwen3-VL-2B,features/language_model-layers-3,0.08015012452669999,0.02906449833748539
EEG2,sub-01,whole_brain,10,0.1,Qwen3-VL-2B,features/language_model-layers-8,0.06396859135618686,0.029125248785418098
EEG2,sub-01,whole_brain,10,0.1,Qwen3-VL-2B,features/visual-blocks-10,0.0940322424454336,0.022861741775332005
EEG2,sub-01,whole_brain,10,0.1,Qwen3-VL-2B,features/visual-blocks-14,0.06265337331982025,0.01962048961642805
EEG2,sub-01,whole_brain,10,0.1,Qwen3-VL-2B,features/visual-blocks-18,0.05372319730684071,0.02147083438591579
EEG2,sub-01,whole_brain,10,0.1,Qwen3-VL-2B,features/visual-blocks-2,0.004416362106470029,0.050612438800263934
EEG2,sub-01,whole_brain,10,0.1,Qwen3-VL-2B,features/visual-blocks-22,0.03464402198277263,0.027469938106331766
EEG2,sub-01,whole_brain,10,0.1,Qwen3-VL-2B,features/visual-blocks-6,0.0320792126555832,0.05291404375603512
EEG2,sub-01,whole_brain,12,0.12,ResNet152_adv,features/layer1-0,-0.12202590235441689,0.07074538285098254
EEG2,sub-01,whole_brain,12,0.12,ResNet152_adv,features/layer2-0,-0.015369606076118727,0.0800394932228361
EEG2,sub-01,whole_brain,12,0.12,ResNet152_adv,features/layer3-0,0.08431807966195587,0.09146621106493147
EEG2,sub-01,whole_brain,12,0.12,ResNet152_adv,features/layer3-10,-0.004591347540379585,0.05737444701351392
EEG2,sub-01,whole_brain,12,0.12,ResNet152_adv,features/layer3-15,-0.060829605675724534,0.04927487603279
EEG2,sub-01,whole_brain,12,0.12,ResNet152_adv,features/layer3-20,-0.046406781444848916,0.046737974824330085
EEG2,sub-01,whole_brain,12,0.12,ResNet152_adv,features/layer3-25,-0.045613095755246594,0.041419963469914584
EEG2,sub-01,whole_brain,12,0.12,ResNet152_adv,features/layer3-30,-0.026241526375115187,0.041684419630703254
EEG2,sub-01,whole_brain,12,0.12,ResNet152_adv,features/layer3-5,-0.009718045814713971,0.070945361967817
EEG2,sub-01,whole_brain,12,0.12,ResNet152_adv,features/layer4-1,0.08803406714741835,0.03679112605574942
EEG2,sub-01,whole_brain,12,0.12,Qwen3-VL-2B,features/language_model-layers-11,0.12638782060641807,0.028503395591291968
EEG2,sub-01,whole_brain,12,0.12,Qwen3-VL-2B,features/language_model-layers-16,0.12078598691186306,0.026782227787767864
EEG2,sub-01,whole_brain,12,0.12,Qwen3-VL-2B,features/language_model-layers-3,0.12858739203084552,0.027999349730992197
EEG2,sub-01,whole_brain,12,0.12,Qwen3-VL-2B,features/language_model-layers-8,0.1198028474754364,0.028387535560085695
EEG2,sub-01,whole_brain,12,0.12,Qwen3-VL-2B,features/visual-blocks-10,0.09828081830578973,0.007432388321242613
EEG2,sub-01,whole_brain,12,0.12,Qwen3-VL-2B,features/visual-blocks-14,0.06442550625429203,0.007129457639011847
EEG2,sub-01,whole_brain,12,0.12,Qwen3-VL-2B,features/visual-blocks-18,0.056218625299263504,0.008814641286817464
EEG2,sub-01,whole_brain,12,0.12,Qwen3-VL-2B,features/visual-blocks-2,-0.039415305817281726,0.03305282342227254
EEG2,sub-01,whole_brain,12,0.12,Qwen3-VL-2B,features/visual-blocks-22,0.06105109896987739,0.014351730866876414
EEG2,sub-01,whole_brain,12,0.12,Qwen3-VL-2B,features/visual-blocks-6,-0.0017331730015053603,0.03313180876102684
EEG2,sub-01,whole_brain,14,0.14,ResNet152_adv,features/layer1-0,-0.06751839018120526,0.03544894880576446
EEG2,sub-01,whole_brain,14,0.14,ResNet152_adv,features/layer2-0,-0.023767518020010103,0.04312833039622469
EEG2,sub-01,whole_brain,14,0.14,ResNet152_adv,features/layer3-0,0.052805243352545196,0.06457325775258249
EEG2,sub-01,whole_brain,14,0.14,ResNet152_adv,features/layer3-10,0.014444429777919692,0.052562388452216544
EEG2,sub-01,whole_brain,14,0.14,ResNet152_adv,features/layer3-15,-0.01158886977025712,0.048023605225556015
EEG2,sub-01,whole_brain,14,0.14,ResNet152_adv,features/layer3-20,-0.0077290524491613055,0.04293162036467777
EEG2,sub-01,whole_brain,14,0.14,ResNet152_adv,features/layer3-25,-0.004774320017933784,0.045688263200186326
EEG2,sub-01,whole_brain,14,0.14,ResNet152_adv,features/layer3-30,-0.009419114150008187,0.04354411478732571
EEG2,sub-01,whole_brain,14,0.14,ResNet152_adv,features/layer3-5,0.019534883671246842,0.059159349104681604
EEG2,sub-01,whole_brain,14,0.14,ResNet152_adv,features/layer4-1,0.05375595515794465,0.03245234666140229
EEG2,sub-01,whole_brain,14,0.14,Qwen3-VL-2B,features/language_model-layers-11,0.06659772530251758,0.02411299854899685
EEG2,sub-01,whole_brain,14,0.14,Qwen3-VL-2B,features/language_model-layers-16,0.06481255240341117,0.02902338072433503
EEG2,sub-01,whole_brain,14,0.14,Qwen3-VL-2B,features/language_model-layers-3,0.047636427271577304,0.028086411802598653
EEG2,sub-01,whole_brain,14,0.14,Qwen3-VL-2B,features/language_model-layers-8,0.04476987648158731,0.028844864779818357
EEG2,sub-01,whole_brain,14,0.14,Qwen3-VL-2B,features/visual-blocks-10,0.06219935587862892,0.004237713856430842
EEG2,sub-01,whole_brain,14,0.14,Qwen3-VL-2B,features/visual-blocks-14,0.03822767009471369,0.004298209430517774
EEG2,sub-01,whole_brain,14,0.14,Qwen3-VL-2B,features/visual-blocks-18,0.02677343119942929,0.006218498970935754
EEG2,sub-01,whole_brain,14,0.14,Qwen3-VL-2B,features/visual-blocks-2,-0.02998758004978464,0.0224031378222026
EEG2,sub-01,whole_brain,14,0.14,Qwen3-VL-2B,features/visual-blocks-22,0.019374173095413946,0.012320989291914278
EEG2,sub-01,whole_brain,14,0.14,Qwen3-VL-2B,features/visual-blocks-6,-0.0005927503338002265,0.0252326715252326
EEG2,sub-01,whole_brain,16,0.16,ResNet152_adv,features/layer1-0,-0.052849230892689704,0.014864366897084124
EEG2,sub-01,whole_brain,16,0.16,ResNet152_adv,features/layer2-0,-0.04429083333606843,0.022787385871992583
EEG2,sub-01,whole_brain,16,0.16,ResNet152_adv,features/layer3-0,-0.010511993984364471,0.04375566963350705
EEG2,sub-01,whole_brain,16,0.16,ResNet152_adv,features/layer3-10,-0.013338991623535967,0.03889999051570317
EEG2,sub-01,whole_brain,16,0.16,ResNet152_adv,features/layer3-15,-0.010519796679077814,0.03506522534968057
EEG2,sub-01,whole_brain,16,0.16,ResNet152_adv,features/layer3-20,-0.006762107938059777,0.0316091901083568
EEG2,sub-01,whole_brain,16,0.16,ResNet152_adv,features/layer3-25,-0.007467189225666355,0.032601397230042656
EEG2,sub-01,whole_brain,16,0.16,ResNet152_adv,features/layer3-30,-0.02419747278570191,0.0338906946414975
EEG2,sub-01,whole_brain,16,0.16,ResNet152_adv,features/layer3-5,0.009242160739293927,0.04459401762007408
EEG2,sub-01,whole_brain,16,0.16,ResNet152_adv,features/layer4-1,0.03980351515311082,0.0202476924347981
EEG2,sub-01,whole_brain,16,0.16,Qwen3-VL-2B,features/language_model-layers-11,-0.034974511690290644,0.014824678809632275
EEG2,sub-01,whole_brain,16,0.16,Qwen3-VL-2B,features/language_model-layers-16,-0.021149443989330496,0.016892251686235187
EEG2,sub-01,whole_brain,16,0.16,Qwen3-VL-2B,features/language_model-layers-3,-0.060864115471323414,0.014825181061246518
EEG2,sub-01,whole_brain,16,0.16,Qwen3-VL-2B,features/language_model-layers-8,-0.039929406672081044,0.016216947635296255
EEG2,sub-01,whole_brain,16,0.16,Qwen3-VL-2B,features/visual-blocks-10,0.06491076257473881,0.011814810496507986
EEG2,sub-01,whole_brain,16,0.16,Qwen3-VL-2B,features/visual-blocks-14,0.05941505611824172,0.009371353555690772
EEG2,sub-01,whole_brain,16,0.16,Qwen3-VL-2B,features/visual-blocks-18,0.04516729430577918,0.008700718309626244
EEG2,sub-01,whole_brain,16,0.16,Qwen3-VL-2B,features/visual-blocks-2,-0.0028372091096705286,0.012054972273745959
EEG2,sub-01,whole_brain,16,0.16,Qwen3-VL-2B,features/visual-blocks-22,0.01915000927176794,0.012400133183835977
EEG2,sub-01,whole_brain,16,0.16,Qwen3-VL-2B,features/visual-blocks-6,0.006948407934761471,0.015019476014527671
EEG2,sub-01,whole_brain,18,0.18,ResNet152_adv,features/layer1-0,0.09979218720326519,0.014090326303173544
EEG2,sub-01,whole_brain,18,0.18,ResNet152_adv,features/layer2-0,0.07622754079593798,0.01967694323009279
EEG2,sub-01,whole_brain,18,0.18,ResNet152_adv,features/layer3-0,0.04486460417803337,0.030010998456421713
EEG2,sub-01,whole_brain,18,0.18,ResNet152_adv,features/layer3-10,0.056024434751074915,0.026910975196823717
EEG2,sub-01,whole_brain,18,0.18,ResNet152_adv,features/layer3-15,0.03867905054447169,0.02744566798636021
EEG2,sub-01,whole_brain,18,0.18,ResNet152_adv,features/layer3-20,0.028457509798722715,0.026761818362419205
EEG2,sub-01,whole_brain,18,0.18,ResNet152_adv,features/layer3-25,0.012722733553779654,0.03131696856185898
EEG2,sub-01,whole_brain,18,0.18,ResNet152_adv,features/layer3-30,0.019993347330306697,0.03444380232315097
EEG2,sub-01,whole_brain,18,0.18,ResNet152_adv,features/layer3-5,0.06760370118684045,0.0304672462203473
EEG2,sub-01,whole_brain,18,0.18,ResNet152_adv,features/layer4-1,0.018490687358659497,0.026411460557293657
EEG2,sub-01,whole_brain,18,0.18,Qwen3-VL-2B,features/language_model-layers-11,-0.061340733721469726,0.01824244583893708
EEG2,sub-01,whole_brain,18,0.18,Qwen3-VL-2B,features/language_model-layers-16,-0.028937753174328663,0.018714084446572077
EEG2,sub-01,whole_brain,18,0.18,Qwen3-VL-2B,features/language_model-layers-3,-0.05205888695364042,0.01696504664256373
EEG2,sub-01,whole_brain,18,0.18,Qwen3-VL-2B,features/language_model-layers-8,-0.051038781698659164,0.018452745772912466
EEG2,sub-01,whole_brain,18,0.18,Qwen3-VL-2B,features/visual-blocks-10,0.04149427395985204,0.02255081246617506
EEG2,sub-01,whole_brain,18,0.18,Qwen3-VL-2B,features/visual-blocks-14,0.04460402139274185,0.01792600491844619
EEG2,sub-01,whole_brain,18,0.18,Qwen3-VL-2B,features/visual-blocks-18,0.032471393426081026,0.01701045429998078
EEG2,sub-01,whole_brain,18,0.18,Qwen3-VL-2B,features/visual-blocks-2,0.05998627790929685,0.012614995927057879
EEG2,sub-01,whole_brain,18,0.18,Qwen3-VL-2B,features/visual-blocks-22,0.032054669754657976,0.02047536957454882
EEG2,sub-01,whole_brain,18,0.18,Qwen3-VL-2B,features/visual-blocks-6,0.053743879543865024,0.014120829840247729
EEG2,sub-01,whole_brain,20,0.2,ResNet152_adv,features/layer1-0,0.10517625993671388,0.02326920517957899
